fuse_name,phase_code,from_bus,to_bus,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,delay_value,delay_units,tcc_curve_name,in_service
fuse(r:p1udt16489-p1udt18947)p1u_267610,C,p1udt16489,p1udt16489-p1udt18947x,"LINESTRING(-97.7231959615444 30.4268026509757, -97.7232495336723 30.4267999916444)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt11021-p1udt16712)p1u_267633,B,p1udt16712,p1udt11021-p1udt16712xxx,"LINESTRING(-97.7238225666381 30.4246597896249, -97.7237803636865 30.4246310642006)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17780-p1udt9587)p1u_267744,B,p1udt17780,p1udt17780-p1udt9587x,"LINESTRING(-97.7223031184314 30.4263031668166, -97.7223407008591 30.4263375728054)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt16488-p1udt17780)p1u_267745,A,p1udt17780,p1udt16488-p1udt17780xxx,"LINESTRING(-97.7223031184314 30.4263031668166, -97.7222550703831 30.426325849939)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt14502-p1udt18352)p1u_267793,A,p1udt18352,p1udt14502-p1udt18352xxx,"LINESTRING(-97.7267662651631 30.4287773111199, -97.726722938881 30.4287498139909)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt18352-p1udt19131)p1u_267794,C,p1udt18352,p1udt18352-p1udt19131x,"LINESTRING(-97.7267662651631 30.4287773111199, -97.7268095524865 30.4288048541056)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt19501-p1udt3780)p1u_267909,A,p1udt19501,p1udt19501-p1udt3780x,"LINESTRING(-97.7209348282422 30.4221090192871, -97.7209511064658 30.4220647093393)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt20018-p1udt24892)p1u_267969,B,p1udt20018,p1udt20018-p1udt24892x,"LINESTRING(-97.7215180369652 30.4209734430969, -97.7214743101408 30.420946488479)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt20179-p1udt3783)p1u_267990,A,p1udt20179,p1udt20179-p1udt3783x,"LINESTRING(-97.7218800869506 30.4238628089933, -97.7218580203757 30.4239052114085)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt10307-p1udt21215)p1u_268086,C,p1udt21215,p1udt10307-p1udt21215xxx,"LINESTRING(-97.7248804480388 30.4273770059677, -97.7248382436242 30.4273482808551)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt22781-p1udt9936)p1u_268232,C,p1udt22781,p1udt22781-p1udt9936x,"LINESTRING(-97.7239488200425 30.420465483318, -97.7240025176203 30.4204743410492)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt22781-p1udt24891)p1u_268233,A,p1udt22781,p1udt22781-p1udt24891x,"LINESTRING(-97.7239488200425 30.420465483318, -97.7239442999555 30.420418284114)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt24268-p1udt908)p1u_268392,C,p1udt24268,p1udt24268-p1udt908x,"LINESTRING(-97.7195836460456 30.4199092426691, -97.7195906819713 30.4198646271303)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt24268-p1udt5825)p1u_268393,B,p1udt24268,p1udt24268-p1udt5825x,"LINESTRING(-97.7195836460456 30.4199092426691, -97.7195354860739 30.4199260865641)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
